Unique Slate ID,SlatesUUID,Slate,Camera Letter,Job,ASA,Camera Head,Camera Head Right,Camera Move Description,Camera Rig,Characters,Props,Wrangler,Film Stock,HDRI Filename,Interior Exterior,Creation Date,Modification Date,Notes,Scene Description,Scene Number,Script Location,Script Time,Set Location,Set Media,Shoot Date,Shoot Time,Stereo Rig Orientation,Stereo Thru Cam Eye,Unit,VFX Shot,White Balance,Tk Take,Tk TakesUUID,Tk Filter,Tk Focal Length,Tk Focal Length End,Tk FPS,Tk Lens Focus,Tk Lens Focus End,Tk Lens Height,Tk Lens Height End,Tk Lens ID,Tk Lens Serial Num,Tk Notes,Tk Roll,Tk Shutter Angle,Tk Start Time Of Take,Tk Stereo Convergence,Tk Stereo IO,Tk Stop,Tk Camera,Tk Camera Tilt,Tk Camera Tilt End,Tk Clip Num,Tk Creation Date,Tk Modification Date
"1","1-2-063510093078-0000000-01644-123516844369517","22ac","A","James Pond - 003.5","800","Red Epic","","Camera moves from high to low.","Technocrane","","","sam","","foo4","Ext","7/22/2013 12:31:18 PM","8/11/2013 5:48:07 PM","Pan around castle model. Need to replace stage roof withnight sky.","Pan around castle.","22","Castle","Night","Stage 6","Clean PlateBallsHDRI","7/22/2013","12:31:18 PM","","","2nd","cc22","","1","1-2-063510093221-0000000-01644-123516844369517","1/4 wave retarder","27mm","27mm","24","Inf","20'9''","15'3''","6'10","27mm","SL27-23","","A071","180","12:33:41 PM","","","4","A","+10","+1","","7/22/2013 12:33:41 PM","8/4/2013 4:02:52 PM"
"1","1-2-063510093078-0000000-01644-123516844369517","22ac","A","James Pond - 003.5","800","Red Epic","","Camera moves from high to low.","Technocrane","","","sam","","foo4","Ext","7/22/2013 12:31:18 PM","8/11/2013 5:48:07 PM","Pan around castle model. Need to replace stage roof withnight sky.","Pan around castle.","22","Castle","Night","Stage 6","Clean PlateBallsHDRI","7/22/2013","12:31:18 PM","","","2nd","cc22","","2","1-2-063510093392-0000000-01644-123516844369517","1/4 wave retarder","27mm","27mm","24","Inf","20'9''","15'3''","6'10","27mm","SL27-23","","A071","180","12:36:32 PM","","","4","A","+10","+1","","7/22/2013 12:36:32 PM","8/4/2013 4:02:52 PM"
"1","1-2-063510093078-0000000-01644-123516844369517","22ac","A","James Pond - 003.5","800","Red Epic","","Camera moves from high to low.","Technocrane","","","sam","","foo4","Ext","7/22/2013 12:31:18 PM","8/11/2013 5:48:07 PM","Pan around castle model. Need to replace stage roof withnight sky.","Pan around castle.","22","Castle","Night","Stage 6","Clean PlateBallsHDRI","7/22/2013","12:31:18 PM","","","2nd","cc22","","3","1-2-063510093393-0000000-01644-123516844369517","1/4 wave retarder","27mm","27mm","24","Inf","14'3''","15'3''","6'10","27mm","SL27-23","","A071","180","12:36:33 PM","","","4","A","+10","+1","","7/22/2013 12:36:33 PM","8/4/2013 4:02:52 PM"
"1","1-2-063510093078-0000000-01644-123516844369517","22ac","A","James Pond - 003.5","800","Red Epic","","Camera moves from high to low.","Technocrane","","","sam","","foo4","Ext","7/22/2013 12:31:18 PM","8/11/2013 5:48:07 PM","Pan around castle model. Need to replace stage roof withnight sky.","Pan around castle.","22","Castle","Night","Stage 6","Clean PlateBallsHDRI","7/22/2013","12:31:18 PM","","","2nd","cc22","","4","1-2-063510093394-0000000-01644-123516844369517","1/4 wave retarder","27mm","27mm","24","Inf","14'3''","15'3''","6'10","27mm","SL27-23","","A071","180","12:36:34 PM","","","4","A","+10","+1","","7/22/2013 12:36:34 PM","8/4/2013 4:02:52 PM"
"2","1-2-063510093624-0000000-01644-123516844369517","27B","A","James Pond - 003.5","800","Red Epic","","Lock-off.","Tripod.","","","sam","RAW","","","7/22/2013 12:40:24 PM","8/8/2013 9:40:04 AM","","Close up of creature emerging from water.","27","Waterfall","","Vermont studio","","7/22/2013","12:40:24 PM","","","1st","","","1","1-2-063510093624-0000001-01644-123516844369517","1/4 Wave Retarder","40mm","40mm","24","11'2''","13'5'","11'8'","2'5''","40mm","SL40-234","","a071","180","12:40:24 PM","","","4","A","+13.8","+4.9","","7/22/2013 12:40:24 PM","8/8/2013 9:40:04 AM"
"2","1-2-063510093624-0000000-01644-123516844369517","27B","A","James Pond - 003.5","800","Red Epic","","Lock-off.","Tripod.","","","sam","RAW","","","7/22/2013 12:40:24 PM","8/8/2013 9:40:04 AM","","Close up of creature emerging from water.","27","Waterfall","","Vermont studio","","7/22/2013","12:40:24 PM","","","1st","","","2","1-2-063510093947-0000000-01644-123516844369517","1/4 Wave Retarder","40mm","40mm","24","11'2''","13'5'","11'8'","2'5''","40mm","SL40-234","","a071","180","12:45:47 PM","","","4","A","+13.8","+4.9","","7/22/2013 12:45:47 PM","8/8/2013 9:40:04 AM"
"2","1-2-063510093624-0000000-01644-123516844369517","27B","A","James Pond - 003.5","800","Red Epic","","Lock-off.","Tripod.","","","sam","RAW","","","7/22/2013 12:40:24 PM","8/8/2013 9:40:04 AM","","Close up of creature emerging from water.","27","Waterfall","","Vermont studio","","7/22/2013","12:40:24 PM","","","1st","","","3","1-2-063510093948-0000000-01644-123516844369517","1/4 Wave Retarder","40mm","40mm","24","11'2''","13'5'","11'8'","2'5''","40mm","SL40-234","","a071","180","12:45:48 PM","","","4","A","+13.8","+4.9","","7/22/2013 12:45:48 PM","8/8/2013 9:40:04 AM"
"3","1-2-063510093963-0000000-01644-123516844369517","29A","A","James Pond - 003.5","800","Red Epic","","","","","","sam","RAW","","","7/22/2013 12:46:03 PM","8/8/2013 9:40:19 AM","","Creature closeup","29","Waterfall","","Vermont studio","","7/22/2013","12:46:03 PM","","","1st","","","1","1-2-063510093963-0000001-01644-123516844369517","1/4 Wave Retarder","40mm","40mm","24","","","5'","5'","40mm","SL40-234","","A073","180","12:46:03 PM","","","4","A","-4","-5","","7/22/2013 12:46:03 PM","8/8/2013 9:40:19 AM"
"3","1-2-063510093963-0000000-01644-123516844369517","29A","A","James Pond - 003.5","800","Red Epic","","","","","","sam","RAW","","","7/22/2013 12:46:03 PM","8/8/2013 9:40:19 AM","","Creature closeup","29","Waterfall","","Vermont studio","","7/22/2013","12:46:03 PM","","","1st","","","1","1-2-063510094078-0000000-01644-123516844369517","1/4 Wave Retarder","35mm","35mm","24","","","5'","5'","35mm","SL35-113","","A074","180","12:47:58 PM","","","4","A","-10","-10","","7/22/2013 12:47:58 PM","8/8/2013 9:40:19 AM"
"11","1-2-063511131545-0000000-06590-123516844369517","24ac","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","foo3","Ext","8/3/2013 12:59:05 PM","8/11/2013 5:52:03 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","7/22/2013","12:31:18 PM","","","1st","cc241","","1","1-2-063511131545-0000001-06590-123516844369517","None","","","","","","","","","","","110","180","12:59:05 PM","","","","A","","","","8/3/2013 12:59:05 PM","8/8/2013 9:41:41 AM"
